BUS_NODE_ID|BUS_NODE_NM|ARO_BUSSTOP_ID|ARO_NM|BUSSTOP_ID|BUSSTOP_NM|ETL_TYPE|ETL_DATE,,,
8002530|전력연구원|44000|전력연구원|3051270500|전력연구원|0602|2019-12-30 02:43:03,,,
8002532|전민중학교|44230|전민중학교|3051270700|전민중학교|0602|2019-12-30 02:43:03,,,
8002535|전민동주민센터|44160|전민동주민센터|3051271100|전민동주민센터|0602|2019-12-30 02:43:03,,,
8002537|전민중학교|44250|전민중학교|3051271300|전민중학교|0602|2019-12-30 02:43:03,,,
8002539|전자디자인고|43530|전자디자인고|3051146600|전자디자인고|0602|2019-12-30 02:43:03,,,
8002541|정림공원|30890|정림공원|3001271600|정림공원|0602|2019-12-30 02:43:03,,,
8002543|정림동|30900|정림동|3001271800|정림동|0602|2019-12-30 02:43:03,,,
8002545|서부소방서|30490|서부소방서|3001272000|서부소방서|0602|2019-12-30 02:43:03,,,
8002547|정림삼거리|30810|정림삼거리|3001272100|정림삼거리|0602|2019-12-30 02:43:03,,,
8002549|정림중학교|34610|정림중학교|3021804300|정림중학교|0602|2019-12-30 02:43:03,,,
8002551|정림초등학교|30860|정림초등학교|3001272300|정림초등학교|0602|2019-12-30 02:43:03,,,
8002554|정부대전청사남문|32200|정부대전청사남문|3001272600|정부대전청사남문|0602|2019-12-30 02:43:03,,,
8002556|정부대전청사서문|32170|정부대전청사서문|3001272800|정부대전청사서문|0602|2019-12-30 02:43:03,,,
8002558|정부청사역|32270|정부청사역|3021999100|정부청사역|0602|2019-12-30 02:43:03,,,
8002560|정생1동|22820|정생1동|3021273000|정생1동|0602|2019-12-30 02:43:03,,,
8002562|정생2동|22960|정생2동|3021273200|정생2동|0602|2019-12-30 02:43:03,,,
8002564|정생농협창고|22800|정생농협창고|3021273400|정생농협창고|0602|2019-12-30 02:43:03,,,
8002566|정수장|50770|정수장|3021273600|정수장|0602|2019-12-30 02:43:03,,,
8002571|신흥마을아파트후문|10610|신흥마을아파트후문|3001274100|신흥마을아파트후문|0602|2019-12-30 02:43:03,,,
8002573|신흥마을아파트|10600|신흥마을아파트|3001274300|신흥마을아파트|0602|2019-12-30 02:43:03,,,
